PLATFORM_NUMBER,CYCLE_NUMBER,LATITUDE,LONGITUDE,DEPTH,TEMP,PSAL,DOXY,CURRENT_SPEED,CURRENT_DIR,DATE_TIME
2903341,104,18.208367338096878,88.49438752841263,1200,2.75,34.8,40.0,0.04,165.0,2025-03-21T06:00:00Z
2903341,104,18.194705691528018,88.49329652863115,1500,2.85,34.8,40.0,0.04,195.0,2025-03-21T06:00:00Z
2903341,104,18.20028217601553,88.49760041344746,2000,2.74,34.8,40.0,0.04,245.0,2025-03-21T06:00:00Z
2903342,98,16.791577181901662,87.19483442342325,0,25.73,31.5,198.1,0.43,45.0,2025-03-21T06:00:00Z
2903342,98,16.793322821349477,87.20215237221248,5,25.34,31.68,186.9,0.46,45.5,2025-03-21T06:00:00Z
2903342,98,16.797785046655292,87.19106815803269,10,24.86,31.85,176.3,0.45,46.0,2025-03-21T06:00:00Z
2903342,98,16.79764499063342,87.20594544510622,20,23.77,32.16,156.6,0.4,47.0,2025-03-21T06:00:00Z
2903342,98,16.79644993388937,87.20166954630508,30,22.79,32.44,138.8,0.41,48.0,2025-03-21T06:00:00Z
2903342,98,16.80571507088566,87.1975078160754,50,19.92,32.91,107.6,0.35,50.0,2025-03-21T06:00:00Z
2903342,98,16.796525245810553,87.20230183182862,75,16.06,33.37,75.1,0.35,52.5,2025-03-21T06:00:00Z
2903342,98,16.800725172546755,87.20660281772243,100,12.1,33.71,47.5,0.31,55.0,2025-03-21T06:00:00Z
2903342,98,16.8020596280183,87.20156916755451,125,8.71,33.98,22.9,0.28,57.5,2025-03-21T06:00:00Z
2903342,98,16.793154283362075,87.19595825846064,150,6.28,34.18,2.5,0.28,60.0,2025-03-21T06:00:00Z
2903342,98,16.805642186591427,87.2045939209934,200,3.89,34.44,2.5,0.21,65.0,2025-03-21T06:00:00Z
2903342,98,16.809418683144937,87.19530999668324,250,3.23,34.59,2.5,0.19,70.0,2025-03-21T06:00:00Z
2903342,98,16.793693710359815,87.20704961797384,300,2.98,34.68,2.5,0.13,75.0,2025-03-21T06:00:00Z
2903342,98,16.807866927272812,87.20818694218386,400,2.79,34.76,2.5,0.12,85.0,2025-03-21T06:00:00Z
2903342,98,16.79373167191405,87.1945692448891,500,2.78,34.79,2.5,0.05,95.0,2025-03-21T06:00:00Z
2903342,98,16.809995302997212,87.19522948252028,600,2.84,34.8,2.5,0.08,105.0,2025-03-21T06:00:00Z
2903342,98,16.802998549611175,87.20402036850044,800,2.77,34.8,37.7,0.04,125.0,2025-03-21T06:00:00Z
2903342,98,16.80542159989247,87.20997960138041,1000,2.81,34.8,40.0,0.04,145.0,2025-03-21T06:00:00Z
2903342,98,16.7966315685237,87.19797902074883,1200,2.78,34.8,40.0,0.04,165.0,2025-03-21T06:00:00Z
2903342,98,16.807184591411918,87.20341268531706,1500,2.75,34.8,40.0,0.04,195.0,2025-03-21T06:00:00Z
2903342,98,16.796483402055454,87.20877097896765,2000,2.7,34.8,40.0,0.04,245.0,2025-03-21T06:00:00Z
2903343,112,15.407508580223507,89.09027722144099,0,25.59,31.5,198.1,0.44,45.0,2025-03-21T06:00:00Z
2903343,112,15.40399515615045,89.10341018885116,5,25.26,31.68,186.9,0.42,45.5,2025-03-21T06:00:00Z
2903343,112,15.39180642824903,89.10051628137239,10,24.87,31.85,176.3,0.41,46.0,2025-03-21T06:00:00Z
2903343,112,15.390124655444168,89.09905458205371,20,23.91,32.16,156.6,0.43,47.0,2025-03-21T06:00:00Z
2903343,112,15.395998239381091,89.1095508639087,30,22.68,32.44,138.8,0.39,48.0,2025-03-21T06:00:00Z
2903343,112,15.39986499065813,89.0962092271461,50,19.95,32.91,107.6,0.36,50.0,2025-03-21T06:00:00Z
2903343,112,15.409030508517814,89.09059756197539,75,16.07,33.37,75.1,0.37,52.5,2025-03-21T06:00:00Z
2903343,112,15.39757792860184,89.09107473078014,100,12.1,33.71,47.5,0.33,55.0,2025-03-21T06:00:00Z
2903343,112,15.395151553870347,89.10381077133233,125,8.72,33.98,22.9,0.3,57.5,2025-03-21T06:00:00Z
2903343,112,15.39984213722103,89.09082994047121,150,6.23,34.18,2.5,0.28,60.0,2025-03-21T06:00:00Z
2903343,112,15.408084816573759,89.10978044979844,200,3.9,34.44,2.5,0.23,65.0,2025-03-21T06:00:00Z
2903343,112,15.405285950377435,89.09018302334201,250,3.16,34.59,2.5,0.17,70.0,2025-03-21T06:00:00Z
2903343,112,15.39165161838455,89.09706839167046,300,2.87,34.68,2.5,0.15,75.0,2025-03-21T06:00:00Z
2903343,112,15.40780219189386,89.10775729277088,400,2.72,34.76,2.5,0.12,85.0,2025-03-21T06:00:00Z
2903343,112,15.401329078150384,89.10190524908285,500,2.72,34.79,2.5,0.08,95.0,2025-03-21T06:00:00Z
2903343,112,15.395225131144503,89.09251115301464,600,2.79,34.8,2.5,0.04,105.0,2025-03-21T06:00:00Z
2903343,112,15.407037343180743,89.10207870720484,800,2.74,34.8,37.7,0.05,125.0,2025-03-21T06:00:00Z
2903343,112,15.401683590652738,89.09332781182405,1000,2.86,34.8,40.0,0.04,145.0,2025-03-21T06:00:00Z
2903343,112,15.400445467014077,89.1021356424024,1200,2.78,34.8,40.0,0.04,165.0,2025-03-21T06:00:00Z
2903343,112,15.409043815371296,89.0915160134929,1500,2.73,34.8,40.0,0.04,195.0,2025-03-21T06:00:00Z
2903343,112,15.392669710564522,89.09376211344419,2000,2.75,34.8,40.0,0.04,245.0,2025-03-21T06:00:00Z
2903344,85,17.50252682112336,68.20132554945913,0,25.68,31.5,198.1,0.46,45.0,2025-03-21T06:00:00Z
2903344,85,17.499472017834798,68.20565506086633,5,25.33,31.68,186.9,0.44,45.5,2025-03-21T06:00:00Z
2903344,85,17.50782532877956,68.19713573025513,10,24.84,31.85,176.3,0.44,46.0,2025-03-21T06:00:00Z
2903344,85,17.49287332982467,68.20413514405472,20,23.85,32.16,156.6,0.44,47.0,2025-03-21T06:00:00Z
2903344,85,17.5010679323382,68.20110008811322,30,22.75,32.44,138.8,0.4,48.0,2025-03-21T06:00:00Z
2903344,85,17.50119341398987,68.19555396888462,50,19.98,32.91,107.6,0.39,50.0,2025-03-21T06:00:00Z
2903344,85,17.505343069970632,68.19627751318376,75,16.04,33.37,75.1,0.36,52.5,2025-03-21T06:00:00Z
2903344,85,17.499384476009368,68.19442477824997,100,11.91,33.71,47.5,0.3,55.0,2025-03-21T06:00:00Z
2903344,85,17.49814519394437,68.20051362503726,125,8.66,33.98,22.9,0.3,57.5,2025-03-21T06:00:00Z
2903344,85,17.495087412108045,68.19349404901557,150,6.22,34.18,2.5,0.24,60.0,2025-03-21T06:00:00Z
2903344,85,17.492969783521573,68.19155749364555,200,3.86,34.44,2.5,0.2,65.0,2025-03-21T06:00:00Z
2903344,85,17.500904621849852,68.19414522039764,250,3.04,34.59,2.5,0.21,70.0,2025-03-21T06:00:00Z
2903344,85,17.492271169957405,68.20012751803921,300,2.99,34.68,2.5,0.14,75.0,2025-03-21T06:00:00Z
2903344,85,17.503097578383095,68.19800711944723,400,2.75,34.76,2.5,0.11,85.0,2025-03-21T06:00:00Z
2903344,85,17.50676558291407,68.1908600639053,500,2.87,34.79,2.5,0.09,95.0,2025-03-21T06:00:00Z
2903344,85,17.499994003703016,68.19134828155826,600,2.75,34.8,2.5,0.04,105.0,2025-03-21T06:00:00Z
2903344,85,17.507090552057505,68.20793115746848,800,2.89,34.8,37.7,0.04,125.0,2025-03-21T06:00:00Z
2903344,85,17.49926824734464,68.20259936954221,1000,2.71,34.8,40.0,0.04,145.0,2025-03-21T06:00:00Z
2903344,85,17.504814829710327,68.19337152775871,1200,2.73,34.8,40.0,0.04,165.0,2025-03-21T06:00:00Z
2903344,85,17.507459384650115,68.1906770589457,1500,2.76,34.8,40.0,0.04,195.0,2025-03-21T06:00:00Z
2903344,85,17.50033743878234,68.20227134106294,2000,2.71,34.8,40.0,0.04,245.0,2025-03-21T06:00:00Z
2903345,91,14.104875004087576,66.79361222574705,0,25.73,31.5,198.1,0.46,45.0,2025-03-21T06:00:00Z
2903345,91,14.095991331711762,66.80540453558741,5,25.33,31.68,186.9,0.45,45.5,2025-03-21T06:00:00Z
2903345,91,14.09773065770317,66.80630241979682,10,24.86,31.85,176.3,0.44,46.0,2025-03-21T06:00:00Z
2903345,91,14.094955585699555,66.79910327166083,20,23.97,32.16,156.6,0.42,47.0,2025-03-21T06:00:00Z
2903345,91,14.105223071478994,66.80784023528274,30,22.69,32.44,138.8,0.38,48.0,2025-03-21T06:00:00Z
2903345,91,14.10584211674125,66.79275445311171,50,20.0,32.91,107.6,0.39,50.0,2025-03-21T06:00:00Z
2903345,91,14.090882605603808,66.80230407866205,75,15.91,33.37,75.1,0.34,52.5,2025-03-21T06:00:00Z
2903345,91,14.104557534245467,66.8029234671108,100,11.94,33.71,47.5,0.3,55.0,2025-03-21T06:00:00Z
2903345,91,14.10462137634381,66.80684933907126,125,8.75,33.98,22.9,0.31,57.5,2025-03-21T06:00:00Z
2903345,91,14.105114407497494,66.80628371337033,150,6.24,34.18,2.5,0.27,60.0,2025-03-21T06:00:00Z
2903345,91,14.10363175026057,66.79717205037551,200,3.85,34.44,2.5,0.24,65.0,2025-03-21T06:00:00Z
2903345,91,14.09077660507578,66.80208597609521,250,3.11,34.59,2.5,0.21,70.0,2025-03-21T06:00:00Z
2903345,91,14.105978672077901,66.7997371460565,300,2.84,34.68,2.5,0.15,75.0,2025-03-21T06:00:00Z
2903345,91,14.09858648942074,66.7983002405128,400,2.71,34.76,2.5,0.1,85.0,2025-03-21T06:00:00Z
2903345,91,14.103701950146577,66.79009041424884,500,2.84,34.79,2.5,0.09,95.0,2025-03-21T06:00:00Z
2903345,91,14.093201232767145,66.80421119407089,600,2.81,34.8,2.5,0.06,105.0,2025-03-21T06:00:00Z
2903345,91,14.104177276761742,66.80529646081793,800,2.71,34.8,37.7,0.04,125.0,2025-03-21T06:00:00Z
2903345,91,14.093581916367341,66.797820262628,1000,2.74,34.8,40.0,0.04,145.0,2025-03-21T06:00:00Z
2903345,91,14.108797964056736,66.80195782148125,1200,2.8,34.8,40.0,0.04,165.0,2025-03-21T06:00:00Z
2903345,91,14.095181182206215,66.80639811985607,1500,2.84,34.8,40.0,0.04,195.0,2025-03-21T06:00:00Z
2903345,91,14.106180154830401,66.79597558183436,2000,2.7,34.8,40.0,0.04,245.0,2025-03-21T06:00:00Z
